Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,8902000000,16921000000,18702000000,13318000000,25827000000,25035000000,21174000000,19805000000,18359000000,15534000000,14209000000
totalRevenue,54318000000,58054000000,56197000000,45804000000,33266000000,32753000000,28216000000,25638000000,21947000000,18853000000,18436000000
costOfRevenue,45416000000,41133000000,37495000000,32486000000,7439000000,7718000000,7042000000,5833000000,11444000000,12590000000,10442000000
costofGoodsAndServicesSold,20415000000,17414000000,17446000000,15387000000,7439000000,7718000000,7042000000,5832000000,4500000000,4426000000,4581000000
operatingIncome,12757000000,18117000000,17924000000,11363000000,12983000000,6383000000,9545000000,9340000000,7537000000,3411000000,5664000000
sellingGeneralAndAdministrative,12872000000,15260000000,12349000000,11299000000,6942000000,7399000000,6295000000,5881000000,6387000000,7724000000,5352000000
researchAndDevelopment,8453000000,7207000000,8046000000,7755000000,6792000000,10753000000,5309000000,4566000000,4435000000,3649000000,3193000000
operatingExpenses,33454000000,30754000000,28027000000,24854000000,16206000000,24575000000,13100000000,11237000000,11379000000,11813000000,9460000000
investmentIncomeNet,540000000,186000000,39000000,174000000,275000000,204000000,146000000,82000000,33000000,38000000,21000000
netInterestIncome,-2224000000,-2230000000,-2423000000,-2454000000,-1784000000,-1348000000,-1150000000,-1047000000,-719000000,-429000000,-299000000
interestIncome,540000000,186000000,39000000,174000000,275000000,204000000,146000000,82000000,879000000,None,None
interestExpense,2224000000,2230000000,2423000000,2454000000,1784000000,1348000000,1150000000,1047000000,719000000,429000000,299000000
nonInterestIncome,54172000000,57906000000,56146000000,45733000000,33224000000,32729000000,-348000000,-303000000,-193000000,-678000000,-55000000
otherNonOperatingIncome,-4677000000,-2448000000,-2500000000,-5614000000,-3006000000,-18000000,-466000000,-188000000,-13000000,27000000,1000000
depreciation,752000000,778000000,803000000,666000000,464000000,471000000,425000000,425000000,417000000,383000000,388000000
depreciationAndAmortization,7900000000,7689000000,7700000000,5800000000,1553000000,1294000000,1076000000,764000000,419000000,403000000,509000000
incomeBeforeTax,6240000000,13468000000,12982000000,3392000000,8426000000,5197000000,7727000000,7884000000,6645000000,2369000000,5332000000
incomeTaxExpense,1377000000,1632000000,1440000000,-1224000000,544000000,-490000000,2418000000,1931000000,1501000000,595000000,1204000000
interestAndDebtExpense,2224000000,2230000000,2423000000,2454000000,1784000000,1348000000,1150000000,1047000000,719000000,429000000,299000000
netIncomeFromContinuingOperations,4873000000,11845000000,11549000000,4622000000,7882000000,5687000000,5309000000,5953000000,5144000000,1774000000,4128000000
comprehensiveIncomeNetOfTax,4757000000,12536000000,11760000000,5095000000,6766000000,5934000000,5168000000,5928000000,4614000000,185000000,4698000000
ebit,8464000000,15698000000,15405000000,5846000000,10210000000,6545000000,8877000000,8931000000,7364000000,2798000000,5664000000
ebitda,16364000000,23387000000,23105000000,11646000000,11763000000,7839000000,9953000000,9695000000,7783000000,3201000000,6140000000
netIncome,4863000000,11836000000,11542000000,4616000000,7882000000,5687000000,5309000000,5953000000,5144000000,1774000000,4128000000
