Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,146052000000,135620000000,115856000000,96937000000,82933000000,72007000000,62310000000,58374000000,60542000000,59755000000,57464000000,56193000000,54366000000,50089000000
totalRevenue,209747000000,196109000000,165936000000,140503000000,123495000000,107222000000,96571000000,91154000000,93580000000,86833000000,77849000000,73723000000,69943000000,62484000000
costOfRevenue,100049000000,93355000000,79977000000,73159000000,67908000000,62776000000,34261000000,32780000000,33038000000,27078000000,20385000000,17530000000,15577000000,12395000000
costofGoodsAndServicesSold,65863000000,62650000000,52232000000,46078000000,42910000000,38353000000,34261000000,32780000000,21410000000,16681000000,20385000000,17530000000,15577000000,12395000000
operatingIncome,88523000000,83383000000,69916000000,52959000000,42959000000,35058000000,29025000000,26078000000,18161000000,27759000000,26764000000,21763000000,27161000000,24098000000
sellingGeneralAndAdministrative,30334000000,27725000000,25224000000,24709000000,23098000000,22223000000,20020000000,19260000000,20324000000,20632000000,20425000000,18426000000,18162000000,17218000000
researchAndDevelopment,27195000000,24512000000,20716000000,19269000000,16876000000,14726000000,13037000000,11988000000,12046000000,11381000000,10411000000,9811000000,9043000000,8714000000
operatingExpenses,61381000000,55217000000,48461000000,46350000000,41874000000,39149000000,35063000000,33357000000,42381000000,31996000000,30700000000,34430000000,27205000000,26989000000
investmentIncomeNet,2994000000,2094000000,2131000000,2680000000,2762000000,2214000000,1387000000,903000000,766000000,883000000,677000000,800000000,900000000,843000000
netInterestIncome,-1968000000,-2063000000,-2346000000,-2591000000,-2686000000,-2733000000,-2222000000,-1243000000,-781000000,-597000000,-429000000,-380000000,-295000000,-151000000
interestIncome,1041000000,2094000000,2131000000,2680000000,812000000,1522000000,1182000000,78000000,,,,,,
interestExpense,1968000000,2063000000,2346000000,2591000000,2686000000,2733000000,2222000000,1243000000,781000000,597000000,429000000,380000000,295000000,151000000
nonInterestIncome,211715000000,198172000000,168282000000,143094000000,126181000000,109955000000,-674000000,-564000000,-88000000,-199000000,-270000000,-481000000,-103000000,-139000000
otherNonOperatingIncome,-223000000,-32000000,98000000,-40000000,-57000000,-59000000,-251000000,-195000000,-267000000,-169000000,194000000,1000000,-31000000,14000000
depreciation,11000000000,12600000000,9300000000,10700000000,9700000000,7700000000,6100000000,4900000000,4100000000,3400000000,2600000000,2200000000,2000000000,1800000000
depreciationAndAmortization,3852000000,2980000000,2521000000,2211000000,1900000000,2200000000,1700000000,978000000,1300000000,845000000,739000000,558000000,537000000,707000000
incomeBeforeTax,89311000000,83716000000,71102000000,53036000000,43688000000,36474000000,29901000000,25639000000,18507000000,27820000000,27052000000,22267000000,28071000000,25013000000
incomeTaxExpense,16950000000,10978000000,9831000000,8755000000,4448000000,19903000000,4412000000,5100000000,6314000000,5746000000,5189000000,5289000000,4921000000,6253000000
interestAndDebtExpense,1968000000,2063000000,2346000000,2591000000,2686000000,2733000000,2222000000,1243000000,781000000,597000000,429000000,380000000,295000000,151000000
netIncomeFromContinuingOperations,72361000000,72738000000,61271000000,44281000000,39240000000,16571000000,21204000000,16798000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000
comprehensiveIncomeNetOfTax,70696000000,66238000000,59897000000,47807000000,41154000000,13715000000,24322000000,19811000000,11007000000,24039000000,22184000000,16537000000,23958000000,18846000000
ebit,91279000000,85779000000,73448000000,55627000000,46374000000,39207000000,32123000000,26882000000,19288000000,28417000000,27481000000,22647000000,28366000000,25164000000
ebitda,95131000000,88759000000,75969000000,57838000000,48274000000,41407000000,33823000000,27860000000,20588000000,29262000000,28220000000,23205000000,28903000000,25871000000
netIncome,72361000000,72738000000,61271000000,44281000000,39240000000,16571000000,25489000000,20539000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000
